Data,ultimo
15.01.2018,"79.698,64"
12.01.2018,"79.349,12"
11.01.2018,"79.365,44"
10.01.2018,"78.200,57"
09.01.2018,"78.863,54"
08.01.2018,"79.378,54"
05.01.2018,"79.071,47"
04.01.2018,"78.647,42"
03.01.2018,"77.995,16"
02.01.2018,"77.891,04"
28.12.2017,"76.402,08"
27.12.2017,"76.072,54"
26.12.2017,"75.707,73"
22.12.2017,"75.186,53"
21.12.2017,"75.133,43"
20.12.2017,"73.367,03"
19.12.2017,"72.680,37"
18.12.2017,"73.115,45"
15.12.2017,"72.607,70"
14.12.2017,"72.428,93"
13.12.2017,"72.914,33"
12.12.2017,"73.813,53"
11.12.2017,"72.800,04"
08.12.2017,"72.731,84"
07.12.2017,"72.487,46"
06.12.2017,"73.268,35"
05.12.2017,"72.546,17"
04.12.2017,"73.090,17"
01.12.2017,"72.264,45"
30.11.2017,"71.970,99"
29.11.2017,"72.700,45"
28.11.2017,"74.139,72"
27.11.2017,"74.058,92"
24.11.2017,"74.157,37"
23.11.2017,"74.486,58"
22.11.2017,"74.518,79"
21.11.2017,"74.594,61"
17.11.2017,"73.437,28"
16.11.2017,"72.511,79"
14.11.2017,"70.826,59"
13.11.2017,"72.475,17"
10.11.2017,"72.165,64"
09.11.2017,"72.930,69"
08.11.2017,"74.363,13"
07.11.2017,"72.414,88"
06.11.2017,"74.310,79"
03.11.2017,"73.915,43"
01.11.2017,"73.823,74"
31.10.2017,"74.308,49"
30.10.2017,"74.800,33"
27.10.2017,"75.975,71"
26.10.2017,"75.896,35"
25.10.2017,"76.671,13"
24.10.2017,"76.350,19"
23.10.2017,"75.413,13"
20.10.2017,"76.390,51"
19.10.2017,"76.283,16"
18.10.2017,"76.591,09"
17.10.2017,"76.201,25"
16.10.2017,"76.891,84"
13.10.2017,"76.989,79"
11.10.2017,"76.659,80"
10.10.2017,"76.897,21"
09.10.2017,"75.726,81"
06.10.2017,"76.054,72"
05.10.2017,"76.617,53"
04.10.2017,"76.591,44"
03.10.2017,"76.762,91"
02.10.2017,"74.359,83"
29.09.2017,"74.293,51"
28.09.2017,"73.567,25"
27.09.2017,"73.796,71"
26.09.2017,"74.318,72"
25.09.2017,"74.443,47"
22.09.2017,"75.389,75"
21.09.2017,"75.604,34"
20.09.2017,"76.004,15"
19.09.2017,"75.974,18"
18.09.2017,"75.990,41"
15.09.2017,"75.756,52"
14.09.2017,"74.656,68"
13.09.2017,"74.787,57"
12.09.2017,"74.538,55"
11.09.2017,"74.319,22"
08.09.2017,"73.078,85"
06.09.2017,"73.412,41"
05.09.2017,"72.150,88"
04.09.2017,"72.128,83"
01.09.2017,"71.923,11"
31.08.2017,"70.835,05"
30.08.2017,"70.886,26"
29.08.2017,"71.329,85"
28.08.2017,"71.016,59"
25.08.2017,"71.073,65"
24.08.2017,"71.132,80"
23.08.2017,"70.477,63"
22.08.2017,"70.011,25"
21.08.2017,"68.634,65"
18.08.2017,"68.714,66"
17.08.2017,"67.976,80"
